Place ID,Latitude,Longitude
ChIJwSBKWiVewokRYm68DSLf5tk,40.726218,-73.8527369
ChIJF68eEtRgwokRodRB1rWK2-c,40.69623,-73.804885
ChIJgXyyxLJgwokRaoU50P0tS9s,40.694364,-73.827991
ChIJVbjT_SBhwokRzvROMJIvQ14,40.7053606,-73.7921914
ChIJx3vwc8RgwokR2akjqIt7GbU,40.70546,-73.810708
ChIJ0Qw2XNVYwokRF8t0ORLp5FI,40.7487173,-73.9373702
ChIJb5QMrQ5ZwokRWKjk91BK1vM,40.7399042,-73.9768084
ChIJQXUVl-FhwokRtEblqipQ6B0,40.6938617,-73.8162485
ChIJiw_1RsVgwokR6DFksUBo5pw,40.70137,-73.8076221
ChIJJ-iLpm5gwokRjmTfwQ6e-K8,40.7471664,-73.8255195
ChIJUy_KU19iwokREeYOPTEDPMU,40.729785,-73.701239
ChIJd8YNXihjwokR6Aa6_r6cjgY,40.7071984,-73.6640875
ChIJlRWCrVB9wokRn3Du74JugZg,40.7408302,-73.6430786
ChIJaSIX9ShiwokRL9oYcog3ZN4,40.72918,-73.7443859
ChIJtyVbIH5hwokRUKZ8U7K21f8,40.7178875,-73.7479347
ChIJUf2cUhBgwokRfyZW4oln3zw,40.7603164,-73.8279801
ChIJAT9wJBtjwokRDvsVJNOV2Js,40.7058088,-73.6879163
ChIJw55Fiy5jwokRyIYlEZSdqbw,40.7017471,-73.6609283
ChIJLb7LRUxnwokRuvCdKxRQUUc,40.6900923,-73.8263329
ChIJF6FeZlNiwokRxTo3tjMN1AA,40.7170391,-73.7071678
ChIJhRVvziyHwokRyD0ORzEJ39Y,40.766493,-73.5598328
ChIJMyX9Bl5jwokROIDfl5FGviE,40.6763862,-73.6766682
ChIJOXTm-ktkwokRo5pfNZ565wc,40.6628925,-73.7191624
ChIJablMDxVkwokRx-qmk5TLB4o,40.6609278,-73.7268192
ChIJA9hlDhVkwokRD3kgG5Ll7xc,40.66094,-73.72672
ChIJS-bTX_ZiwokRNA1aYisOQyc,40.7278202,-73.697973
ChIJsW7v5-xgwokRpMj4RjFeieo,40.7186022,-73.8168355
ChIJ0SSYLRhjwokRlDN0NOfsD4Y,40.70215,-73.67982
ChIJEdg1xjNgwokRzpkQdWGKh4o,40.7557661,-73.7993461
ChIJw8cnMjdgwokRLmmgZXIbras,40.7540964,-73.8044253
ChIJA7eZwgZfwokRtUpmFMtvu68,40.7483314,-73.892901
ChIJfzCUX4FZwokR8AOl-CU0ezk,40.7210331,-73.9874678
ChIJMRuQfBBiwokReatCor-fTlQ,40.7465958,-73.7349276
ChIJHar2sKhfwokRpzw5hEEvIUI,40.7486346,-73.8930779
ChIJvxe8KA5gwokRVlQrpB6Kqs0,40.75993,-73.830437
ChIJ0--wkqHzwokRpvNm0ZDJrI8,40.8816434,-73.8961157
ChIJ94pi_Wr0wokRsRY5_v1_3n0,40.8459,-73.910136
ChIJ--YmwTZfwokR96IxoqVT1oQ,40.7631898,-73.9284336
ChIJ-6SpONRiwokReebu1RuaUmI,40.711854,-73.6580446
ChIJJ5K-EktnwokRK75S3FYEhAc,40.6908065,-73.82204
ChIJ06hDbzNgwokRH6T7OQuNDwo,40.753857,-73.796768
ChIJhVVVVaHU6YkR9H6E1y0pTS8,40.923192,-72.7047287
ChIJJSQ0cNplwokRbg6TARSKRBA,40.6304013,-73.7401295
ChIJgfbJ3MpgwokRkQKu0aVKclY,40.6930555,-73.8160787
ChIJhb8h98FgwokRx6OqZGRFGJg,40.7105094,-73.8118746
ChIJvUnCl8BgwokRQigCh9lTx8w,40.7080642,-73.8174307
ChIJ44wFxr9gwokRoEUizeNNa0k,40.7111772,-73.8197618
ChIJDyhm9b1gwokRcDcN91aPd5g,40.712928,-73.8256344
ChIJ7fG8YOtgwokRlpX-K6uEYWc,40.7101939,-73.8193376
ChIJe-xKRw5gwokRYS3J-tLDYP8,40.759789,-73.831569
ChIJN4NNvmz2wokR0Qst5XlgrUQ,40.8107556,-73.9528326
